2820,194443,724054,1461320,733804,422902,197758,161512,117520,100376,83950,72574,55673,48579,59619,77304,74598,83059,66322,73136,66608,50888,47398,52450,52788,46155,37955,32271,33930,33132,15601,2680,989
2821,183200,577904,1540084,738933,431864,209066,158322,114411,98692,83322,70461,57868,54564,68109,82867,67642,70115,73412,74128,64677,52467,48300,51304,50554,49855,39492,32084,33306,33121,14703,3256,1862
2822,175703,558838,1445826,809182,459225,218316,170228,122917,108190,89712,73005,62799,55701,68818,83662,70636,64495,77995,72486,66743,53573,52685,51546,52569,48370,37246,32157,34810,30555,15808,2540,244
2823,173516,528294,1290376,815262,421847,215335,173618,130056,112596,93910,78105,61357,50308,67557,93576,68790,68450,76827,72009,61409,54095,53429,45208,51573,49128,37204,31105,35023,28507,15001,2783,928
2824,171823,492318,1262309,772524,413062,220426,163397,119419,104084,85345,70347,59763,54385,68563,86040,71732,66061,81477,70703,65698,52700,49797,48986,50404,52088,40874,33511,34864,28443,15101,3094,1549
2825,211371,713363,1473871,821757,414784,200176,162572,116415,101917,87477,79260,59545,48994,65544,79601,81110,77909,68014,75606,63397,52594,46580,50280,49936,45394,39193,33897,34452,30942,15667,2819,1223
2826,173287,524458,1411756,854148,423578,212402,181422,126981,111469,90636,76692,62988,55107,73388,87357,68337,69206,81991,73722,66908,49823,49724,47945,53719,47577,35847,31906,34622,31228,14864,3068,1503
2827,166525,573363,1298201,875675,458922,228120,173967,125784,120142,88216,78945,64744,57245,72791,90954,77915,69464,83300,74534,67331,57456,50750,51427,52041,49167,41161,33153,35425,31811,15543,3967,2698
2828,181492,596649,1398807,850608,466532,231152,178065,126580,107656,101370,84216,62980,60554,74316,94235,77870,69632,81522,77621,66777,54921,57245,53763,55360,51436,43472,33624,36322,33772,16386,4751,3778
2829,173278,544903,1269368,858392,475505,231747,172004,132678,114169,96340,83340,68949,55022,69820,90021,74965,66364,76650,73604,69248,53368,54024,48413,54354,48920,43855,35592,35718,31630,14764,3322,1509
2830,201687,680693,1499396,830963,426666,205375,155998,115353,105807,89268,72575,57981,48764,67734,85443,79329,78666,69559,74499,67091,52993,49733,52329,52418,49489,38627,32684,35412,31518,14487,3238,2214
2831,195972,569766,1475242,809778,477569,217364,179111,134088,110250,98257,81752,67989,55290,68986,86431,70357,71666,81258,69547,66989,55768,52423,46887,52724,52428,40564,34921,37515,32190,15374,3127,1768
2832,188356,582833,1348342,840176,490706,234729,187534,127785,116676,86941,78345,67582,56529,74361,96650,75376,65002,80078,74325,68882,55820,56321,50895,57003,51840,45144,33413,37694,33052,16654,3098,1146
2833,184478,573528,1381312,787166,472039,218757,173527,133244,119503,97133,79728,65741,50120,65254,93948,72699,67869,78082,77503,67071,55509,54688,50582,50652,52683,43365,34222,36967,31966,16135,4362,2937
